TeamID,SeedNum,Region,R64,R32,S16,E8,F4,Championship,AvgRound,PublicPickRate,R64_EV,R32_EV,S16_EV,E8_EV,F4_EV,Championship_EV,PoolScore,PoolRank,TeamName
1181,1,W,0.94585,0.8352,0.607,0.47715,0.31775,0.23295,4.4159,0.95,9.647976552854422,17.03862138170749,24.766386922165818,38.93667716610023,51.85844773982332,76.0372959936544,218.28540575630566,1,Duke
1112,1,Z,0.9507,0.76935,0.62155,0.43255,0.251,0.11635,4.1415,0.95,9.697448124754136,15.69523869733795,25.36004578496238,35.297201526137805,40.964501597783325,37.977846700415064,164.99228243139066,2,Arizona
1276,1,Y,0.93705,0.7892,0.58615,0.38095,0.23905,0.10455,4.03695,0.95,9.558213700747727,16.10019156422839,23.915679891972804,31.086507736405498,39.01419962928329,34.12620431910954,153.80099684174726,3,Michigan
1196,1,X,0.95725,0.7844,0.6034,0.36295,0.18355,0.1179,4.00945,0.95,9.764260247629007,16.002268452839264,24.619502255082136,29.617661065568647,29.956311825789363,38.48378277592553,148.44378662283395,4,Florida
1222,2,X,0.95115,0.79165,0.5061,0.2906,0.16865,0.1096,3.81775,0.88,9.968791849441205,16.594215565599807,21.217286674035403,24.36571233935858,28.281330943102713,36.75818406598349,137.1855214375212,5,Houston
1345,2,Z,0.91695,0.739,0.47455,0.2461,0.13075,0.0548,3.56215,0.88,9.6103492470642,15.490589658281133,19.89461250970856,20.63455542572659,21.925787256511594,18.379092032991746,105.93498613028383,6,Purdue
1235,2,Y,0.8816,0.6389,0.44125,0.22855,0.1278,0.05185,3.36995,0.88,9.23985375016282,13.392337933255503,18.498572900450743,19.16305421596835,21.431094542119933,17.389706604208428,99.11461994616577,7,Iowa St
1228,3,X,0.8929,0.73355,0.3671,0.19755,0.09255,0.0494,3.33305,0.8,9.644477566395157,15.846581966242956,15.860623651578729,17.07036884973783,15.994559727089202,17.074689368302682,91.49130112934655,8,Illinois
1277,3,W,0.9197,0.6446,0.382,0.1482,0.061,0.02805,3.18355,0.8,9.933952310240368,13.925031334524174,16.504380917741965,12.80601702622701,10.542065298243559,9.69524365953219,73.40669054650927,9,Michigan St
1163,2,W,0.9158,0.67855,0.37605,0.1415,0.0605,0.02725,3.19965,0.88,9.598296352539824,14.223463616544876,15.765186037879893,11.86424052312195,10.145392956167887,9.139238282828924,70.73581776908335,10,Connecticut
1211,3,Z,0.9135,0.65455,0.29815,0.1138,0.0468,0.0151,3.0419,0.8,9.866984272485134,14.139977133125656,12.881626101111957,9.833500253607514,8.088010753406534,5.219186426343532,60.02928494008032,11,Gonzaga
1385,5,W,0.88195,0.51875,0.22635,0.10975,0.0365,0.014,2.7873,0.6,10.23290674136456,12.037690055179695,10.504987543093684,10.187076499708697,6.775914209373438,5.197961585272775,54.936536633992844,12,St. John's
1397,6,Y,0.72345,0.40625,0.2192,0.09255,0.0393,0.01495,2.4957,0.55,8.538820251057562,9.589870003433917,10.34879756185952,8.73887969297535,7.421674163888305,5.646515458021891,50.28455713123655,13,Tennessee
1104,4,Y,0.885,0.53345,0.1841,0.08695,0.0296,0.00725,2.72635,0.72,9.84280625463501,11.865864398949256,8.190104549054487,7.736334497993346,5.267291573101854,2.580261074661381,45.48266234839534,14,Alabama
1438,3,Y,0.8982,0.48455,0.1813,0.07235,0.02355,0.00585,2.6658,0.8,9.70172443737947,10.467536352999828,7.833100158080152,6.251790363343619,4.0699284880923905,2.0220026883516335,40.34608248824709,15,Virginia
1116,4,Z,0.889,0.52835,0.1468,0.0648,0.02375,0.0055,2.6582,0.72,9.887293514542964,11.75242188618397,6.530729754487772,5.765548884070947,4.22628969125571,1.957439435950013,40.119723166491376,16,Arkansas
1403,5,Y,0.83015,0.4065,0.15095,0.07305,0.0251,0.0063,2.49205,0.6,9.631892433067398,9.432907966131173,7.005645547293977,6.7805552465031464,4.659601278226666,2.3390827133727488,39.84968518459511,17,Texas Tech
1435,5,X,0.7698,0.4628,0.15815,0.05015,0.01695,0.0059,2.46375,0.6,8.931675956122728,10.73935991814393,7.339800220632941,4.654960241096958,3.1466231739419115,2.190569525222098,37.00298903516056,18,Vanderbilt
1458,5,Z,0.81515,0.414,0.11875,0.05305,0.0198,0.0044,2.42515,0.6,9.457853540703354,9.606946858495217,5.511231591528054,4.924140394620013,3.675701406728605,1.6336450696571578,34.8095188617324,19,Wisconsin
1242,4,W,0.8796,0.4413,0.10575,0.04075,0.0132,0.00415,2.48475,0.72,9.782748453759272,9.816113898690237,4.7045277352662245,3.62571168249832,2.348927323140016,1.4769770289441009,31.755006122298173,20,Kansas
1304,4,X,0.815,0.4286,0.13445,0.0346,0.0112,0.00345,2.4273,0.72,9.064279206245798,9.533619798274723,5.981312094624528,3.078518385630475,1.993029243876377,1.2278483734595538,30.878607102111456,21,Nebraska
1140,6,Z,0.69675,0.25745,0.13945,0.0423,0.0145,0.00395,2.1544,0.55,8.223682369098562,6.077321925868461,6.583667062049771,3.9941070881994314,2.7382767271343624,1.4918886996111353,29.10894387196172,22,BYU
1257,6,W,0.7389,0.26995,0.12035,0.03115,0.00945,0.0036,2.1734,0.55,8.721175317584397,6.3723948490510445,5.681924208803801,2.9412868982839786,1.7846010394082565,1.3596960300253382,26.86107834315682,23,Louisville
1417,7,W,0.7224,0.2461,0.08305,0.0243,0.0066,0.0016,2.08405,0.5,8.671141320315435,5.907995235131863,3.9874766702779456,2.333430056297509,1.2675422528035853,0.6145659407532534,22.782151475579592,24,UCLA
1388,7,X,0.7986,0.1715,0.0682,0.0238,0.0085,0.0029,2.0735,0.5,9.585788286827114,4.117111673405585,3.2744841530759285,2.2854170921761616,1.6324407801258296,1.113900767615272,22.009142753225888,25,Saint Mary's
1246,7,Y,0.62165,0.2055,0.07355,0.02485,0.00755,0.00195,1.93505,0.5,7.4618147865089846,4.933332063468499,3.53135351112514,2.386244316830992,1.4499915164647075,0.7490022402930276,20.51173843469135,26,Kentucky
1234,9,X,0.6406,0.1361,0.06215,0.01845,0.00425,0.0008,1.86235,0.4,7.945931444840644,3.3763386501492714,3.083606864170128,1.830814051293286,0.8434644680754977,0.3175395644519521,17.39769504298078,27,Iowa
1208,8,Y,0.6488,0.148,0.05065,0.0164,0.0039,0.0008,1.86855,0.45,7.917673058530897,3.612255279477721,2.4724422960208994,1.6011077454982332,0.7615024643223304,0.31241126741428943,16.67739211126437,28,Georgia
1274,7,Z,0.7,0.17875,0.04625,0.01045,0.0021,0.0004,1.93795,0.5,8.402268721235888,4.291158668345471,2.2205995906123417,1.0034709501361716,0.40330889861932256,0.15364148518831336,16.474448314137508,29,Miami FL
1326,8,W,0.68535,0.1111,0.0445,0.01585,0.00345,0.0008,1.86105,0.45,8.363713364155595,2.711632172634965,2.1722345937399807,1.5474120589114022,0.6736367953620616,0.31241126741428943,15.781040252218293,30,Ohio St
1437,8,Z,0.55915,0.12865,0.0585,0.0157,0.0047,0.0008,1.7675,0.45,6.823623444324215,3.1399773088162752,2.8556342412087394,1.5327677807513571,0.9177080980294751,0.31241126741428943,15.582122140544351,31,Villanova
1365,10,Y,0.37835,0.142,0.0583,0.01365,0.0039,0.00065,1.59685,0.35,4.768804116976397,3.5795965884004137,2.9393025507569592,1.3763800966666382,0.7865029123809361,0.262167637460312,13.712753902641657,32,Santa Clara
